x,y
23.774381,37.968353
23.77439,37.968337
23.774405,37.968312
23.774425,37.96828
23.774449,37.968239
23.774478,37.968191
23.774506,37.968143
23.774535,37.968095
23.774564,37.968047
23.774593,37.967999
23.774621,37.967951
23.77465,37.967903
23.774674,37.967855
23.774698,37.967805
23.774717,37.967754
23.774731,37.967703
23.774734,37.96765
23.774732,37.967602
23.774724,37.967564
23.774718,37.967534
23.774702,37.967497
23.774673,37.967455
23.774635,37.967412
23.774592,37.967371
23.774541,37.967337
23.774485,37.967307
23.774426,37.967283
23.774363,37.967264
23.774299,37.967251
23.774233,37.96724
23.774167,37.967233
23.7741,37.967226
23.774034,37.967219
23.773967,37.967212
23.773901,37.967205
23.773834,37.967198
23.773768,37.967191
23.773701,37.967185
23.773635,37.967176
23.773569,37.967168
23.773503,37.967159
23.773436,37.967151
23.77337,37.967142
23.773305,37.967131
23.773239,37.96712
23.773173,37.96711
23.773107,37.9671
23.773041,37.967094
23.772974,37.967088
23.772908,37.967081
23.772841,37.967076
23.772774,37.967072
23.772707,37.967067
23.77264,37.967065
23.772573,37.967065
23.772506,37.967066
23.772439,37.967066
23.772372,37.967068
23.772305,37.96707
23.772238,37.967073
23.772172,37.967079
23.772105,37.967085
23.772039,37.967092
23.771972,37.9671
23.771906,37.967109
23.771841,37.967119
23.771775,37.967131
23.77171,37.967142
23.771644,37.967154
23.771579,37.967167
23.771515,37.967181
23.77145,37.967196
23.771386,37.96721
23.771321,37.967225
23.771256,37.967238
23.771192,37.967252
23.771127,37.967266
23.771062,37.96728
23.770997,37.967294
23.770933,37.967308
23.770868,37.967321
23.770803,37.967335
23.770738,37.967349
23.770674,37.967362
23.770609,37.967376
23.770544,37.967389
23.770479,37.967402
23.770413,37.967412
23.770347,37.967422
23.770281,37.967432
23.770215,37.967442
23.77015,37.967452
23.770083,37.96746
23.770017,37.967466
23.76995,37.967472
23.769883,37.967477
23.769817,37.967483
23.76975,37.967489
23.769683,37.967494
23.769617,37.9675
23.76955,37.967506
23.769483,37.967511
23.769417,37.967517
23.76935,37.967523
23.769283,37.967528
23.769217,37.967534
23.76915,37.967539
23.769083,37.967545
23.769017,37.967551
23.76895,37.967556
23.768883,37.967562
23.768817,37.967568
23.76875,37.967573
23.768683,37.967579
23.768617,37.967584
23.76855,37.96759
23.768483,37.967596
23.768417,37.967601
23.76835,37.967607
23.768283,37.967613
23.768217,37.967618
23.76815,37.967624
23.768083,37.96763
23.768017,37.967636
23.76795,37.967642
23.767884,37.967648
23.767817,37.967654
23.76775,37.96766
23.767684,37.967666
23.767617,37.967671
23.76755,37.967677
23.767484,37.967683
23.767417,37.967689
23.767351,37.967695
23.767284,37.9677
23.767217,37.967705
23.76715,37.96771
23.767084,37.967715
23.767017,37.967722
23.766951,37.96773
23.766885,37.96774
23.76682,37.967753
23.766756,37.967767
23.766691,37.967781
23.766626,37.967795
23.766562,37.96781
23.766506,37.967825
23.766461,37.967837
23.766426,37.967847
23.766381,37.967859
23.766326,37.967875
23.766264,37.967897
23.766203,37.967919
23.766142,37.967941
23.766081,37.967963
23.76602,37.967984
23.765959,37.968006
23.765899,37.96803
23.765842,37.968058
23.765785,37.968086
23.765729,37.968114
23.765674,37.968145
23.765619,37.968176
23.765565,37.968206
23.76551,37.968237
23.765457,37.96827
23.765405,37.968303
23.765352,37.968336
23.765302,37.968371
23.765253,37.968407
23.765205,37.968444
23.765156,37.96848
23.765108,37.968518
23.765061,37.968556
23.765015,37.968594
23.764969,37.968632
23.764923,37.968671
23.76488,37.968712
23.764838,37.968753
23.764795,37.968794
23.764752,37.968835
23.764709,37.968876
23.764666,37.968916
23.764623,37.968957
23.764581,37.968998
23.764538,37.969039
23.764495,37.96908
23.764452,37.96912
23.764409,37.969161
23.764366,37.969202
23.764323,37.969242
23.76428,37.969283
23.764237,37.969324
23.764194,37.969365
23.764151,37.969405
23.764107,37.969446
23.764064,37.969487
23.764021,37.969527
23.763978,37.969568
23.763935,37.969609
23.763892,37.96965
23.763849,37.96969
23.763806,37.969731
23.763763,37.969772
23.76372,37.969812
23.763676,37.969852
23.763631,37.969892
23.763586,37.969931
23.763538,37.969968
23.763489,37.970004
23.76344,37.970041
23.76339,37.970076
23.763337,37.970108
23.763283,37.97014
23.76323,37.970172
23.763173,37.970201
23.763117,37.97023
23.763061,37.970259
23.763005,37.970288
23.762949,37.970317
23.762893,37.970346
23.762836,37.970374
23.762779,37.970402
23.762722,37.97043
23.762665,37.970458
23.762608,37.970486
23.762552,37.970515
23.762495,37.970543
23.762439,37.970572
23.762383,37.970601
23.762326,37.97063
23.76227,37.970658
23.762214,37.970687
23.762157,37.970716
23.762101,37.970745
23.762044,37.970773
23.761987,37.9708
23.76193,37.970828
23.761873,37.970856
23.761816,37.970884
23.761759,37.970912
23.761701,37.97094
23.761644,37.970968
23.761587,37.970996
23.76153,37.971024
23.761473,37.971052
23.761416,37.971079
23.761359,37.971107
23.761302,37.971135
23.761244,37.971162
23.761187,37.97119
23.76113,37.971217
23.761072,37.971244
23.761015,37.971272
23.760957,37.971299
23.760899,37.971326
23.760841,37.971352
23.760783,37.971379
23.760725,37.971406
23.760667,37.971432
23.760609,37.971459
23.760551,37.971485
23.760493,37.971512
23.760435,37.971538
23.760377,37.971565
23.760318,37.97159
23.760257,37.971612
23.760196,37.971634
23.760135,37.971657
